,0
Start,2021-01-04 09:45:00
End,2021-05-28 23:45:00
Duration,144 days 14:00:00
Exposure Time [%],19.487444100447195
Equity Final [$],11480.672359999999
Equity Peak [$],12097.13141
Return [%],14.806723599999987
Buy & Hold Return [%],10.103806228373708
Return (Ann.) [%],40.65480171745995
Volatility (Ann.) [%],17.83935793535165
Sharpe Ratio,2.2789386179025932
Sortino Ratio,6.0110842228008945
Calmar Ratio,5.663956615718861
Max. Drawdown [%],-7.177809520050515
Avg. Drawdown [%],-0.7964466993922488
Max. Drawdown Duration,44 days 13:00:00
Avg. Drawdown Duration,1 days 11:40:00
# Trades,5
Win Rate [%],80.0
Best Trade [%],9.001501943557045
Worst Trade [%],-5.058999050589996
Avg. Trade [%],2.8046771922902947
Max. Trade Duration,9 days 23:00:00
Avg. Trade Duration,5 days 06:09:00
Profit Factor,3.89659342202277
Expectancy [%],2.930772674391684
SQN,1.0636512792385284
_strategy,Quantile_Simple
_equity_curve,"                          Equity  DrawdownPct DrawdownDuration
time                                                          
2021-01-04 09:45:00  10000.00000     0.000000              NaT
2021-01-04 10:00:00  10000.00000     0.000000              NaT
2021-01-04 10:15:00  10000.00000     0.000000              NaT
2021-01-04 10:30:00  10000.00000     0.000000              NaT
2021-01-04 10:45:00  10000.00000     0.000000              NaT
...                          ...          ...              ...
2021-05-28 22:45:00  11480.67236     0.050959              NaT
2021-05-28 23:00:00  11480.67236     0.050959              NaT
2021-05-28 23:15:00  11480.67236     0.050959              NaT
2021-05-28 23:30:00  11480.67236     0.050959              NaT
2021-05-28 23:45:00  11480.67236     0.050959 44 days 13:00:00

[5814 rows x 3 columns]"
_trades,"   Size  EntryBar  ...            ExitTime        Duration
0   333       234  ... 2021-01-21 10:15:00 9 days 23:00:00
1   327      1114  ... 2021-02-08 10:15:00 6 days 16:45:00
2   328      3771  ... 2021-04-08 12:15:00 0 days 00:15:00
3   323      3773  ... 2021-04-14 11:00:00 5 days 22:30:00
4   365      5563  ... 2021-05-28 10:30:00 3 days 16:15:00

[5 rows x 10 columns]"
